DATE,GDP
2013-07-01,17860.4
2013-10-01,18016.1
2014-01-01,17954.0
2014-04-01,18185.9
2014-07-01,18406.9
2014-10-01,18500.0
2015-01-01,18666.6
2015-04-01,18782.2
2015-07-01,18857.4
2015-10-01,18892.2
2016-01-01,19001.7
2016-04-01,19062.7
2016-07-01,19197.9
2016-10-01,19304.4
2017-01-01,19398.3
2017-04-01,19506.9
2017-07-01,19660.8
2017-10-01,19882.4
2018-01-01,20044.1
2018-04-01,20150.5
2018-07-01,20276.2
2018-10-01,20304.9
2019-01-01,20431.6
2019-04-01,20602.3
2019-07-01,20843.3
2019-10-01,20985.4
2020-01-01,20693.2
2020-04-01,19056.6
2020-07-01,20548.8
2020-10-01,20771.7
2021-01-01,21058.4
2021-04-01,21389.0
2021-07-01,21571.4
2021-10-01,21960.4
2022-01-01,21903.8
2022-04-01,21919.2
2022-07-01,22066.8
2022-10-01,22249.5
2023-01-01,22403.4
2023-04-01,22539.4
2023-07-01,22780.9
2023-10-01,22960.6
2024-01-01,23053.5
2024-04-01,23223.9
