DATE,REALRATE
1982-01-01,4.3
1982-02-01,6.7
1982-03-01,7.7
1982-04-01,8.2
1982-05-01,8.3
1982-06-01,9.3
1982-07-01,7.5
1982-08-01,5.7
1982-09-01,3.3
1982-10-01,4.6
1982-11-01,5.8
1982-12-01,5.3
1983-01-01,4.7
1983-02-01,4.9
1983-03-01,5.3
1983-04-01,5.1
1983-05-01,5.3
1983-06-01,6.0
1983-07-01,4.7
1983-08-01,5.7
1983-09-01,5.5
1983-10-01,4.9
1983-11-01,4.6
1983-12-01,4.5
1984-01-01,5.4
1984-02-01,5.2
1984-03-01,5.6
1984-04-01,5.4
1984-05-01,5.4
1984-06-01,5.4
1984-07-01,6.3
1984-08-01,6.1
1984-09-01,6.4
1984-10-01,6.9
1984-11-01,6.4
1984-12-01,5.8
1985-01-01,5.1
1985-02-01,4.8
1985-03-01,4.5
1985-04-01,5.7
1985-05-01,5.0
1985-06-01,3.5
1985-07-01,4.5
1985-08-01,4.3
1985-09-01,4.1
1985-10-01,4.1
1985-11-01,4.2
1985-12-01,4.5
1986-01-01,4.3
1986-02-01,4.5
1986-03-01,5.3
1986-04-01,5.1
1986-05-01,5.0
1986-06-01,4.5
1986-07-01,3.5
1986-08-01,3.4
1986-09-01,3.0
1986-10-01,2.8
1986-11-01,2.7
1986-12-01,2.4
1987-01-01,2.5
1987-02-01,2.3
1987-03-01,3.3
1987-04-01,2.5
1987-05-01,2.1
1987-06-01,2.9
1987-07-01,2.3
1987-08-01,2.6
1987-09-01,2.4
1987-10-01,3.7
1987-11-01,3.4
1987-12-01,2.4
1988-01-01,2.5
1988-02-01,2.9
1988-03-01,2.7
1988-04-01,2.8
1988-05-01,2.9
1988-06-01,3.1
1988-07-01,2.5
1988-08-01,3.2
1988-09-01,3.4
1988-10-01,3.1
1988-11-01,3.0
1988-12-01,3.3
1989-01-01,3.3
1989-02-01,3.4
1989-03-01,3.5
1989-04-01,4.1
1989-05-01,4.5
1989-06-01,4.5
1989-07-01,3.9
1989-08-01,3.7
1989-09-01,4.0
1989-10-01,3.9
1989-11-01,3.9
1989-12-01,3.9
1990-01-01,3.8
1990-02-01,3.4
1990-03-01,4.4
1990-04-01,4.5
1990-05-01,4.3
1990-06-01,3.7
1990-07-01,4.3
1990-08-01,3.9
1990-09-01,2.9
1990-10-01,2.6
1990-11-01,2.1
1990-12-01,2.1
1991-01-01,2.7
1991-02-01,3.0
1991-03-01,2.8
1991-04-01,3.4
1991-05-01,3.2
1991-06-01,3.0
1991-07-01,2.9
