Date,DJJA
2021-01-22,30997.0
2021-01-25,30960.0
2021-01-26,30937.0
2021-01-27,30303.2
2021-01-28,30603.4
2021-01-29,29982.6
2021-02-01,30211.9
2021-02-02,30687.5
2021-02-03,30723.6
2021-02-04,31055.9
2021-02-05,31148.2
2021-02-08,31385.8
2021-02-09,31375.8
2021-02-10,31437.8
2021-02-11,31430.7
2021-02-12,31458.4
2021-02-16,31522.8
2021-02-17,31613.0
2021-02-18,31493.3
2021-02-19,31494.3
2021-02-22,31521.7
2021-02-23,31537.3
2021-02-24,31961.9
2021-02-25,31402.0
2021-02-26,30932.4
2021-03-01,31535.5
2021-03-02,31391.5
2021-03-03,31270.1
2021-03-04,30924.1
2021-03-05,31496.3
2021-03-08,31802.4
2021-03-09,31832.7
2021-03-10,32297.0
2021-03-11,32485.6
2021-03-12,32778.6
2021-03-15,32953.5
2021-03-16,32825.9
2021-03-17,33015.4
2021-03-18,32862.3
2021-03-19,32628.0
2021-03-22,32731.2
2021-03-23,32423.2
2021-03-24,32420.1
2021-03-25,32619.5
2021-03-26,33072.9
2021-03-29,33171.4
2021-03-30,33067.0
2021-03-31,32981.6
2021-04-01,33153.2
2021-04-05,33527.2
2021-04-06,33430.2
2021-04-07,33446.3
2021-04-08,33503.6
2021-04-09,33800.6
2021-04-12,33745.4
2021-04-13,33677.3
2021-04-14,33730.9
2021-04-15,34036.0
2021-04-16,34200.7
2021-04-19,34077.6
2021-04-20,33821.3
2021-04-21,34137.3
2021-04-22,33815.9
2021-04-23,34043.5
2021-04-26,33981.6
2021-04-27,33984.9
2021-04-28,33820.4
2021-04-29,34060.4
2021-04-30,33874.9
2021-05-03,34113.2
2021-05-04,34133.0
2021-05-05,34230.3
2021-05-06,34548.5
2021-05-07,34777.8
2021-05-10,34742.8
2021-05-11,34269.2
2021-05-12,33587.7
2021-05-13,34021.4
2021-05-14,34382.1
2021-05-17,34327.8
2021-05-18,34060.7
2021-05-19,33896.0
2021-05-20,34084.1
2021-05-21,34207.8
2021-05-24,34394.0
2021-05-25,34312.5
2021-05-26,34323.1
2021-05-27,34464.6
2021-05-28,34529.4
2021-06-01,34575.3
2021-06-02,34600.4
2021-06-03,34577.0
2021-06-04,34756.4
2021-06-07,34630.2
2021-06-08,34599.8
2021-06-09,34447.1
2021-06-10,34466.2
2021-06-11,34479.6
2021-06-14,34393.8
2021-06-15,34299.3
2021-06-16,34033.7
2021-06-17,33823.4
2021-06-18,33290.1
2021-06-21,33877.0
2021-06-22,33945.6
2021-06-23,33874.2
2021-06-24,34196.8
2021-06-25,34433.8
2021-06-28,34283.3
2021-06-29,34292.3
2021-06-30,34502.5
2021-07-01,34633.5
2021-07-02,34786.4
2021-07-06,34577.4
2021-07-07,34681.8
2021-07-08,34421.9
2021-07-09,34870.2
2021-07-12,34996.2
2021-07-13,34888.8
2021-07-14,34933.2
2021-07-15,34987.0
2021-07-16,34687.9
2021-07-19,33962.0
2021-07-20,34512.0
2021-07-21,34798.0
2021-07-22,34823.4
2021-07-23,35061.6
2021-07-26,35144.3
2021-07-27,35058.5
2021-07-28,34930.9
2021-07-29,35084.5
2021-07-30,34935.5
2021-08-02,34838.2
2021-08-03,35116.4
2021-08-04,34792.7
2021-08-05,35064.2
2021-08-06,35208.5
2021-08-09,35101.9
2021-08-10,35264.7
2021-08-11,35485.0
2021-08-12,35499.9
2021-08-13,35515.4
2021-08-16,35625.4
2021-08-17,35343.3
2021-08-18,34960.7
2021-08-19,34894.1
2021-08-20,35120.1
2021-08-23,35335.7
2021-08-24,35366.3
2021-08-25,35405.5
2021-08-26,35213.1
2021-08-27,35455.8
2021-08-30,35399.8
2021-08-31,35360.7
2021-09-01,35312.5
2021-09-02,35443.8
2021-09-03,35369.1
2021-09-07,35100.0
2021-09-08,35031.1
2021-09-09,34879.4
2021-09-10,34607.7
2021-09-13,34869.6
2021-09-14,34577.6
2021-09-15,34814.4
2021-09-16,34751.3
2021-09-17,34584.9
2021-09-20,33970.5
2021-09-21,33919.8
2021-09-22,34258.3
2021-09-23,34764.8
2021-09-24,34798.0
2021-09-27,34869.4
2021-09-28,34300.0
2021-09-29,34390.7
2021-09-30,33843.9
2021-10-01,34326.5
2021-10-04,34002.9
2021-10-05,34314.7
2021-10-06,34417.0
2021-10-07,34754.9
2021-10-08,34746.2
2021-10-11,34496.1
2021-10-12,34378.3
2021-10-13,34377.8
2021-10-14,34912.6
2021-10-15,35294.8
2021-10-18,35258.6
2021-10-19,35457.3
2021-10-20,35609.3
2021-10-21,35603.1
2021-10-22,35677.0
2021-10-25,35741.1
2021-10-26,35756.9
2021-10-27,35490.7
2021-10-28,35730.5
2021-10-29,35819.6
2021-11-01,35913.8
2021-11-02,36052.6
2021-11-03,36157.6
2021-11-04,36124.2
2021-11-05,36327.9
2021-11-08,36432.2
2021-11-09,36320.0
2021-11-10,36079.9
2021-11-11,35921.2
2021-11-12,36100.3
2021-11-15,36087.4
2021-11-16,36142.2
2021-11-17,35931.1
2021-11-18,35870.9
2021-11-19,35602.0
2021-11-22,35619.2
2021-11-23,35813.8
2021-11-24,35804.4
2021-11-26,34899.3
2021-11-29,35135.9
2021-11-30,34483.7
2021-12-01,34022.0
2021-12-02,34639.8
2021-12-03,34580.1
2021-12-06,35227.0
2021-12-07,35719.4
2021-12-08,35754.8
2021-12-09,35754.7
2021-12-10,35971.0
2021-12-13,35650.9
2021-12-14,35544.2
2021-12-15,35927.4
2021-12-16,35897.6
2021-12-17,35365.4
2021-12-20,34932.2
2021-12-21,35492.7
2021-12-22,35753.9
2021-12-23,35950.6
2021-12-27,36302.4
2021-12-28,36398.2
2021-12-29,36488.6
2021-12-30,36398.1
2021-12-31,36338.3
2022-01-03,36585.1
2022-01-04,36799.6
2022-01-05,36407.1
2022-01-06,36236.5
2022-01-07,36231.7
2022-01-10,36068.9
2022-01-11,36252.0
2022-01-12,36290.3
2022-01-13,36113.6
2022-01-14,35911.8
2022-01-18,35368.5
2022-01-19,35028.6
2022-01-20,34715.4
2022-01-21,34265.4
2022-01-24,34364.5
2022-01-25,34297.7
2022-01-26,34168.1
2022-01-27,34160.8
2022-01-28,34725.5
2022-01-31,35131.9
2022-02-01,35405.2
2022-02-02,35629.3
2022-02-03,35111.2
2022-02-04,35089.7
2022-02-07,35091.1
2022-02-08,35462.8
2022-02-09,35768.1
2022-02-10,35241.6
2022-02-11,34738.1
2022-02-14,34566.2
2022-02-15,34988.8
2022-02-16,34934.3
2022-02-17,34312.0
2022-02-18,34079.2
2022-02-22,33596.6
2022-02-23,33131.8
2022-02-24,33223.8
2022-02-25,34058.8
2022-02-28,33892.6
2022-03-01,33294.9
2022-03-02,33891.4
2022-03-03,33794.7
2022-03-04,33614.8
