Date,Price
2011-06-09,1.8413
2011-06-10,1.8573
2011-06-13,1.8953
2011-06-14,1.9067
2011-06-15,1.8213
2011-06-16,1.7667
2011-06-17,1.7667
2011-06-20,1.734
2011-06-21,1.8353
2011-06-22,1.814
2011-06-23,1.8473
2011-06-24,1.838
2011-06-27,1.8307
2011-06-28,1.874
2011-06-29,1.886
2011-06-30,1.942
2011-07-01,1.9347
2011-07-05,1.9427
2011-07-06,1.9307
2011-07-07,1.982
2011-07-08,1.9207
2011-07-11,1.89
2011-07-12,1.878
2011-07-13,1.9093
2011-07-14,1.8407
2011-07-15,1.8387
2011-07-18,1.8153
2011-07-19,1.8593
2011-07-20,1.9127
2011-07-21,1.9133
2011-07-22,1.9527
2011-07-25,1.8993
2011-07-26,1.8667
2011-07-27,1.8427
2011-07-28,1.878
2011-07-29,1.878
2011-08-01,1.918
2011-08-02,1.8227
2011-08-03,1.8133
2011-08-04,1.65
2011-08-05,1.616
2011-08-08,1.576
2011-08-09,1.6707
2011-08-10,1.588
2011-08-11,1.6867
2011-08-12,1.754
2011-08-15,1.7487
2011-08-16,1.74
2011-08-17,1.722
2011-08-18,1.6173
2011-08-19,1.4867
2011-08-22,1.4633
2011-08-23,1.5307
2011-08-24,1.5913
2011-08-25,1.5407
2011-08-26,1.582
2011-08-29,1.6473
2011-08-30,1.642
2011-08-31,1.6493
2011-09-01,1.6
2011-09-02,1.538
2011-09-06,1.5293
2011-09-07,1.5893
2011-09-08,1.574
2011-09-09,1.5313
2011-09-12,1.5253
2011-09-13,1.6053
2011-09-14,1.6227
2011-09-15,1.6547
2011-09-16,1.72
2011-09-19,1.718
2011-09-20,1.734
2011-09-21,1.7233
2011-09-22,1.7087
2011-09-23,1.7587
2011-09-26,1.7013
2011-09-27,1.746
2011-09-28,1.6393
2011-09-29,1.608
2011-09-30,1.626
2011-10-03,1.582
2011-10-04,1.5773
2011-10-05,1.6913
2011-10-06,1.7973
2011-10-07,1.7993
2011-10-10,1.8587
2011-10-11,1.8407
2011-10-12,1.8533
2011-10-13,1.8627
2011-10-14,1.87
2011-10-17,1.828
2011-10-18,1.8893
2011-10-19,1.838
2011-10-20,1.8227
2011-10-21,1.8687
2011-10-24,1.9033
2011-10-25,1.8833
2011-10-26,1.8653
2011-10-27,1.9173
2011-10-28,1.9913
2011-10-31,1.958
2011-11-01,1.9253
2011-11-02,1.914
2011-11-03,2.164
2011-11-04,2.154
2011-11-07,2.0847
2011-11-08,2.1227
2011-11-09,2.0587
2011-11-10,2.0887
2011-11-11,2.2427
2011-11-14,2.2147
2011-11-15,2.262
2011-11-16,2.3293
2011-11-17,2.2453
2011-11-18,2.1733
2011-11-21,2.1173
2011-11-22,2.138
2011-11-23,2.0967
2011-11-25,2.1107
2011-11-28,2.1707
2011-11-29,2.1167
2011-11-30,2.1827
2011-12-01,2.1733
2011-12-02,2.22
2011-12-05,2.2947
2011-12-06,2.3247
2011-12-07,2.2793
2011-12-08,2.0593
2011-12-09,2.0693
2011-12-12,2.0273
2011-12-13,1.9633
2011-12-14,1.902
2011-12-15,1.908
2011-12-16,1.8667
2011-12-19,1.85
2011-12-20,1.86
2011-12-21,1.838
2011-12-22,1.8513
2011-12-23,1.86
2011-12-27,1.9047
2011-12-28,1.9007
2011-12-29,1.9153
2011-12-30,1.904
2012-01-03,1.872
2012-01-04,1.8473
2012-01-05,1.808
2012-01-06,1.794
2012-01-09,1.8167
2012-01-10,1.8413
2012-01-11,1.882
2012-01-12,1.8833
2012-01-13,1.5193
2012-01-17,1.7733
2012-01-18,1.7873
2012-01-19,1.784
2012-01-20,1.7733
2012-01-23,1.7847
2012-01-24,1.828
2012-01-25,1.8647
2012-01-26,1.9293
2012-01-27,1.9553
2012-01-30,1.9713
2012-01-31,1.938
2012-02-01,1.972
2012-02-02,2.0167
2012-02-03,2.0767
2012-02-06,2.12
2012-02-07,2.1067
2012-02-08,2.1287
2012-02-09,2.172
2012-02-10,2.0733
2012-02-13,2.0993
2012-02-14,2.2113
2012-02-15,2.24
2012-02-16,2.2787
2012-02-17,2.3313
2012-02-21,2.3
2012-02-22,2.2813
2012-02-23,2.302
2012-02-24,2.25
2012-02-27,2.2413
2012-02-28,2.254
2012-02-29,2.2273
2012-03-01,2.294
2012-03-02,2.2693
2012-03-05,2.2513
2012-03-06,2.2073
2012-03-07,2.208
2012-03-08,2.2047
2012-03-09,2.316
2012-03-12,2.4007
2012-03-13,2.406
2012-03-14,2.3527
2012-03-15,2.3333
2012-03-16,2.3547
2012-03-19,2.332
2012-03-20,2.3307
2012-03-21,2.3433
2012-03-22,2.2933
2012-03-23,2.272
2012-03-26,2.4933
2012-03-27,2.5293
2012-03-28,2.5233
2012-03-29,2.4887
2012-03-30,2.4827
2012-04-02,2.4387
2012-04-03,2.534
2012-04-04,2.3333
2012-04-05,2.2987
2012-04-09,2.21
2012-04-10,2.164
2012-04-11,2.206
2012-04-12,2.2293
2012-04-13,2.2393
2012-04-16,2.15
2012-04-17,2.1493
2012-04-18,2.1773
2012-04-19,2.2107
2012-04-20,2.2107
2012-04-23,2.1293
2012-04-24,2.1213
2012-04-25,2.194
2012-04-26,2.2327
2012-04-27,2.2227
2012-04-30,2.2087
2012-05-01,2.252
2012-05-02,2.2627
2012-05-03,2.164
2012-05-04,2.122
2012-05-07,2.1647
2012-05-08,2.0127
2012-05-09,2.004
2012-05-10,2.1973
2012-05-11,2.15
2012-05-14,2.004
2012-05-15,1.962
2012-05-16,1.9453
2012-05-17,1.9047
2012-05-18,1.8373
2012-05-21,1.918
2012-05-22,2.0533
2012-05-23,2.068
2012-05-24,2.0187
2012-05-25,1.9873
2012-05-29,2.1127
2012-05-30,2.0273
2012-05-31,1.9667
2012-06-01,1.8767
2012-06-04,1.8587
2012-06-05,1.8607
2012-06-06,1.948
2012-06-07,1.9287
2012-06-08,2.0053
2012-06-11,1.9413
2012-06-12,1.9773
