Date	Ticker	Price
2020-01-02 00:00:00+00:00	AAPL	75.088
2020-01-02 00:00:00+00:00	GOOG	68.368
2020-01-02 00:00:00+00:00	MSFT	160.62
2020-01-02 00:00:00+00:00	NVDA	5.998
2020-01-02 00:00:00+00:00	TSLA	28.684
2020-01-03 00:00:00+00:00	AAPL	74.357
2020-01-03 00:00:00+00:00	GOOG	68.033
2020-01-03 00:00:00+00:00	MSFT	158.62
2020-01-03 00:00:00+00:00	NVDA	5.902
2020-01-03 00:00:00+00:00	TSLA	29.534
2020-01-06 00:00:00+00:00	AAPL	74.95
2020-01-06 00:00:00+00:00	GOOG	69.711
2020-01-06 00:00:00+00:00	MSFT	159.03
2020-01-06 00:00:00+00:00	NVDA	5.926
2020-01-06 00:00:00+00:00	TSLA	30.103
2020-01-07 00:00:00+00:00	AAPL	74.598
2020-01-07 00:00:00+00:00	GOOG	69.667
2020-01-07 00:00:00+00:00	MSFT	157.58
2020-01-07 00:00:00+00:00	NVDA	5.998
2020-01-07 00:00:00+00:00	TSLA	31.271
2020-01-08 00:00:00+00:00	AAPL	75.798
2020-01-08 00:00:00+00:00	GOOG	70.216
2020-01-08 00:00:00+00:00	MSFT	160.09
2020-01-08 00:00:00+00:00	NVDA	6.01
2020-01-08 00:00:00+00:00	TSLA	32.809
2020-01-09 00:00:00+00:00	AAPL	77.408
2020-01-09 00:00:00+00:00	GOOG	70.992
2020-01-09 00:00:00+00:00	MSFT	162.09
2020-01-09 00:00:00+00:00	NVDA	6.076
2020-01-09 00:00:00+00:00	TSLA	32.089
2020-01-10 00:00:00+00:00	AAPL	77.582
2020-01-10 00:00:00+00:00	GOOG	71.487
2020-01-10 00:00:00+00:00	MSFT	161.34
2020-01-10 00:00:00+00:00	NVDA	6.108
2020-01-10 00:00:00+00:00	TSLA	31.877
2020-01-13 00:00:00+00:00	AAPL	79.24
2020-01-13 00:00:00+00:00	GOOG	71.962
2020-01-13 00:00:00+00:00	MSFT	163.28
2020-01-13 00:00:00+00:00	NVDA	6.299
2020-01-13 00:00:00+00:00	TSLA	34.991
2020-01-14 00:00:00+00:00	AAPL	78.17
2020-01-14 00:00:00+00:00	GOOG	71.544
